id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38131660,Sleek Studio at The Domain #1558 by WanderJaunt,104309976,WanderJaunt,,78758,30.40385,-97.7219,Entire home/apt,10000,1,17,2020-01-10,3.83,208,171
38132508,Urban Hideaway Walkable to Town Lake Trails,59193177,David,,78741,30.2396,-97.7351,Entire home/apt,147,1,12,2019-12-30,2.67,1,67
38133393,Great room Great Location near downtown Austin!!!,5318697,Richard,,78741,30.23167,-97.72816,Private room,35,2,24,2020-01-02,5.63,1,63
38133602,"{{ULTRA MASTER ROOM/BATH,3 QUEENS, NO CLEANING FEE",255898643,Sam,,78705,30.2889,-97.74907,Private room,39,1,11,2019-11-19,2.41,11,60
38134778,"Hot Tub, Luxury Bedding, $5k Gel Bed, BBQ + View!",289732339,Michael,,78746,30.26811,-97.80437,Entire home/apt,180,2,11,2019-12-27,3.37,1,190
38148049,Spacious Lake View Home - Great for entertaining,82393193,Alicia,,78730,30.34003,-97.82065,Entire home/apt,800,2,0,,,1,172
38151123,Clarksville Sundown - downtown!!,118565935,Renters Club,,78703,30.27996,-97.75799,Entire home/apt,389,1,0,,,76,288
38151966,"Peaceful SoCo hideaway,  Close to entertainment!",74866651,Renee,,78704,30.23588,-97.74729,Entire home/apt,149,2,5,2019-11-10,1.18,1,0
38153497,Space for Everyone in South Austin!,22776813,Russell,,78745,30.21802,-97.81016,Entire home/apt,139,2,6,2020-01-05,4.00,2,117
38157501,--2 LEVEL PENTHOUSE 3 ROOMS 2 BATHS 5 QUEEN+2BUNKS,121500207,Ashley,,78705,30.28955,-97.74363,Entire home/apt,199,1,18,2020-01-05,4.25,23,335
38157693,A traveling musician's paradise in E.Austin,20631685,Ashley,,78702,30.26333,-97.70593,Private room,50,1,20,2020-01-05,7.06,1,23
38157718,"Sleep in before your convention, only steps away!3",216289751,Cierra,,78701,30.27117,-97.74653,Entire home/apt,110,3,7,2019-12-13,1.83,10,0
38160821,Central Austin Casa Verde,132186386,Valerie,,78752,30.34068,-97.71422,Entire home/apt,95,30,0,,,2,0
38162108,Private room & bath 2 miles from downtown,17311180,Devin,,78741,30.22552,-97.74158,Private room,47,1,15,2019-11-23,3.36,1,27
38164716,Brand new build in the heart of Zilker - walkable!,7185633,Reinhard,,78704,30.25024,-97.76937,Entire home/apt,80,1,17,2020-01-01,4.02,1,10
38165096,"Modern condo nr Zilker Park-nature, music, art",7464103,Alex  & Leen,,78704,30.26437,-97.76453,Entire home/apt,105,183,0,,,2,365
38165505,Clean & Cozy Townhouse In Sleepy Northwest Austin,110468129,Sebastian,,78729,30.44845,-97.77767,Entire home/apt,74,1,5,2019-11-10,1.53,3,0
38165771,Spacious Nature Home | Contemporary | close to DT,24907682,Jacoby,,78741,30.22096,-97.69615,Entire home/apt,380,1,7,2020-01-06,1.54,4,159
38166625,"Comfy, Private Twin In Sleepy Northwest Austin",110468129,Sebastian,,78729,30.44792,-97.77923,Private room,29,1,15,2020-01-11,3.60,3,75
38167212,Charming Queen In Sleepy Northwest Austin,110468129,Sebastian,,78729,30.44824,-97.77902,Private room,37,1,1,2019-11-15,0.51,3,0
38167787,Austin West 6th -prime LOCATION! Convenient,52980041,Kevin,,78703,30.27666,-97.76253,Entire home/apt,100,2,7,2019-11-10,1.53,1,75
38178043,Clean Cozy Cool Apartment #B,258415127,Shan,,78728,30.4396,-97.69357,Entire home/apt,75,1,0,,,3,10
38180655,Nice apartment close to downtown,181103488,Olivier,,78745,30.1825,-97.7763,Entire home/apt,80,30,0,,,1,365
38181048,St Elmo Tiny Home - Everything you want in 225 s/f,60491020,David,,78745,30.20679,-97.76303,Entire home/apt,95,1,13,2020-01-05,3.45,1,227
38181363,Austin home in perfect downtown location.,133466422,Jonathan,,78703,30.27802,-97.76524,Entire home/apt,1500,4,0,,,1,89
38181384,3bd+Loft Downtown Convenience,1523587,Dallas,,78702,30.27553,-97.70611,Entire home/apt,565,1,7,2019-11-18,1.63,15,334
38183019,Incredibly Central Rustic One Bedroom Apartment,169517376,Ashe,,78731,30.30936,-97.75348,Entire home/apt,89,1,21,2020-01-04,5.21,1,46
38184476,Modern 3BD/3BTH Southeast Austin Home,50779306,Ainslie,,78744,30.19969,-97.73618,Entire home/apt,355,2,1,2019-11-03,0.42,1,14
38185018,"ACL One Bedroom, 2-Story, quiet green belt trees",1787072,John,,78746,30.2554,-97.79587,Entire home/apt,195,2,2,2019-10-07,0.47,1,180
38188692,Modern 1BR at The Domain #3338 by WanderJaunt,104309976,WanderJaunt,,78758,30.403,-97.71971,Entire home/apt,10000,1,19,2019-12-29,4.71,208,168
38189554,East Austin Unit B at Bret - Close to downtown,8997432,Linda,,78721,30.25561,-97.68909,Entire home/apt,55,30,1,2019-10-31,0.41,2,100
38189571,Luxe 1BR at The Domain #3559 by WanderJaunt,104309976,WanderJaunt,,78758,30.40406,-97.72159,Entire home/apt,10000,1,19,2019-12-23,4.38,208,175
38189716,Exciting Three Bed at MUSE,4962900,Stay Alfred,,78704,30.25341,-97.74719,Entire home/apt,999,2,2,2019-12-01,0.56,83,309
38190633,Exciting Stay Alfred at MUSE,114353388,Stay Alfred,,78704,30.25307,-97.7474,Entire home/apt,1112,1,3,2019-11-18,0.95,83,309
38190634,Dreamy Stay Alfred at MUSE,114353388,Stay Alfred,,78704,30.25501,-97.74701,Entire home/apt,1112,1,4,2019-12-28,1.14,83,309
38190636,Jazzy Stay Alfred at MUSE,114353388,Stay Alfred,,78704,30.25341,-97.74813,Entire home/apt,1112,1,0,,,83,336
